,Number,F true,F guess,d true,d guess,MAE guess,MAE ground truth,MAE spectrum
47,47.0,-0.5846906481730786,-0.5827344655990601,-0.17856653839165906,-0.17884913086891174,0.001119375228881836,0.006902682129293679,0.00612913491204381
48,48.0,-0.2436986655568432,-0.3020422160625458,-0.1971104691755162,-0.19759038090705872,0.02941172569990158,0.010465448722243307,0.01845961064100265
49,49.0,-0.7264427686408769,-0.7243836522102356,-0.309274103395084,-0.30955612659454346,0.0011705607175827026,0.00450503546744585,0.0037980438210070133
50,50.0,-0.9299000924253968,-0.9294487237930298,-0.4172629254716504,-0.4170824587345123,0.00031591951847076416,0.0025730668567121033,0.0023950040340423584
51,51.0,-0.9098850828466342,-0.9095555543899536,-0.6819003349355837,-0.6823353171348572,0.00038227438926696783,0.002554434584453702,0.0024984676856547594
52,52.0,-0.5846906481730786,-0.5845192074775696,-0.26163284349812044,-0.2622045874595642,0.000371590256690979,0.006375119555741549,0.003670713864266872
53,53.0,-0.21661601455868854,-0.3000452518463135,0.3788391378210188,0.3780719041824341,0.04209823161363602,0.011048424988985062,0.01915610767900944
54,54.0,-0.923427838460942,-0.9232358336448668,-0.5857814577793757,-0.586061954498291,0.00023624300956726074,0.002265903167426586,0.0019002684857696293
55,55.0,-0.9881764374870832,-0.9940769076347352,-0.6522694686679397,-0.5934269428253174,0.03237149119377136,0.002933068666607141,0.06207971647381784
56,56.0,-0.1611875620623033,-0.7741584777832031,-0.7563431014609305,-0.9189329743385316,0.3877803981304169,0.0063243736512959,0.18122833967208865
57,57.0,-0.7434846208731265,-0.740538477897644,-0.7832230571940443,-0.7837639451026917,0.0017435252666473387,0.00502003962174058,0.003272328060120344
58,58.0,-0.9846177207725194,-0.9839077591896056,-0.2804982815783209,-0.2794714570045471,0.0008683949708938599,0.0033206799998879433,0.003835465991869569
59,59.0,-0.9745563172063902,-0.9741023182868958,-0.3487714118323959,-0.3473790287971497,0.0009232014417648317,0.00264588394202292,0.004343139007687569
60,60.0,-0.9951571687498528,-0.9930384755134584,-0.5703720092024415,-0.5650182962417603,0.00373619794845581,0.003117587650194764,0.00964487623423338
61,61.0,-0.864612027566562,-0.8652955293655396,0.02321926243086744,0.02289457619190216,0.0005040867254137993,0.003697032341733575,0.0029880290385335684
62,62.0,-0.7100375663483539,-0.70917147397995,-0.8036199091574512,-0.8041261434555054,0.0006861686706542969,0.0052097272127866745,0.002172796055674553
