,Number,F true,F guess,d true,d guess,MAE ground truth,MAE spectrum
73,73.0,-0.9846177207725194,-0.9849835634231568,-0.4016775183651301,-0.3895130157470703,0.0018713605822995305,0.02326830103993416
74,74.0,-0.9977329354879508,-1.006330490112305,-0.6691193452863495,-0.7978139519691467,0.0020788591355085373,0.01492636650800705
75,75.0,-0.7131530076849408,-0.7105734944343567,-0.4857488136780483,-0.4857996702194214,0.003180115250870585,0.0027125838678330183
76,76.0,-0.9266252958650376,-0.927177667617798,-0.3739112949199303,-0.3739286065101624,0.0026586169842630625,0.002460290212184191
77,77.0,0.31038877138332177,0.28942522406578064,-0.20550622951164346,-0.205537497997284,0.010093512944877148,0.009988721460103987
78,78.0,-0.07740095099345204,-0.07799793779850006,-0.060767496366938185,-0.060945134609937675,0.005133470986038446,0.004777845926582813
79,79.0,-0.9712227231977478,-0.970694065093994,-0.6302142359382795,-0.6300517916679382,0.002596174832433462,0.0018851537024602294
80,80.0,-0.9438731286143124,-0.9438862800598145,-0.35220507089111264,-0.35203683376312256,0.001820355304516852,0.0016794437542557714
81,81.0,-0.8247995927374537,-0.8261289596557617,0.6997166601412712,0.6992863416671753,0.006261947099119425,0.005097536835819483
82,82.0,-0.9324873949579828,-0.932286262512207,-0.7644706119865993,-0.7644083499908447,0.0018171509727835653,0.0017406564438715575
83,83.0,-0.9372894853209216,-0.9371443390846252,-0.8271023459290607,-0.8271622657775879,0.001625430304557085,0.0016439839964732528
84,84.0,-0.6800672197580331,-0.6794632077217102,-0.3435956597751978,-0.3435153365135193,0.0036233086138963695,0.0034642675891518593
85,85.0,-0.9603344250290335,-0.9598263502120972,-0.6392814009156865,-0.6392134428024292,0.002247459953650832,0.0016533327288925648
86,86.0,-0.9969978844684726,-0.997780978679657,-0.868043281708055,-0.6771407127380371,0.0024756481871008873,0.010352742858231071
87,87.0,-0.9754922841051742,-0.9845684766769408,-0.9536342456321384,-0.9148560166358948,0.003324849996715784,0.03537626937031746
88,88.0,-0.8122208054632217,-0.8124239444732666,0.15177419533981545,0.1516883373260498,0.0033177221193909645,0.0032661056611686945
89,89.0,-0.9467079782962134,-0.9463123679161072,-0.6401180410219681,-0.6401177644729614,0.002017176942899823,0.0017927942099049687
90,90.0,-0.7937468842042767,-0.7946099042892456,0.473248022596367,0.4731485545635224,0.004548375029116869,0.004392353817820549
91,91.0,-0.9591318741283604,-0.9593773484230042,-0.2362505432551681,-0.23617465794086456,0.0019459050381556155,0.0017479845555499196
92,92.0,-0.8343816613227037,-0.8336309790611267,-0.6974886565667259,-0.6973825097084045,0.0021355629432946444,0.001813099952414632
93,93.0,-0.8122208054632217,-0.8127060532569885,0.13952127836811526,0.13930107653141022,0.0037218893412500616,0.003437329782173037
94,94.0,-0.8851430360745158,-0.8846731781959534,-0.08360380646632379,-0.08384681493043901,0.0027860815171152358,0.0020308885723352432
95,95.0,-0.9875688181336744,-0.9878912568092346,-0.4877192787758358,-0.479998379945755,0.0017687357030808926,0.011910891160368921
96,96.0,-0.445191997250239,-0.453691303730011,-0.16722620167637198,-0.16735617816448212,0.005844875704497099,0.005421095993369818
97,97.0,-0.9301517588014988,-0.930399477481842,-0.2787574739556261,-0.27870535850524897,0.002025575842708349,0.001979417400434613
98,98.0,0.3629075438408019,0.3528866767883301,-0.8056519014430286,-0.8060328960418701,0.00930131319910288,0.0076423846185207376
99,99.0,-0.9357098409611778,-0.9359622597694396,-0.3947616125729205,-0.39489901065826416,0.0019631728064268827,0.0017630610382184386
100,100.0,-0.9123463293263906,-0.912985861301422,-0.3803221352211156,-0.3804062008857727,0.002459129318594933,0.002173428190872073
101,101.0,-0.9167553334561216,-0.9165331125259399,-0.1363222269883966,-0.1365855634212494,0.002482568845152855,0.0017753440188243985
102,102.0,-0.9988455393022192,-0.9997377395629884,-0.8575824404944713,-0.8184299468994141,0.0018549286760389805,0.00498069217428565
103,103.0,-0.8564035208093649,-0.856572687625885,-0.10977289475289792,-0.1099020317196846,0.0026167856995016336,0.0023915320634841928
104,104.0,-0.9846177207725194,-0.9845538139343262,-0.5304304574511146,-0.5308015942573547,0.001823008409701288,0.0016812909161671994
105,105.0,-0.8763786992092275,-0.8757883310317993,0.08960077718675903,0.08956149965524672,0.003302230266854167,0.003075998742133379
106,106.0,-0.8955595939592083,-0.8953481316566467,-0.5484224955971205,-0.5485027432441711,0.002081290353089571,0.0020245469640940428
107,107.0,-0.5846906481730786,-0.5812114477157593,-0.6308164217490603,-0.6306841969490051,0.004184540361166,0.003841146128252149
108,108.0,-0.8245534401260501,-0.8244480490684509,0.2788194827167382,0.2787879407405853,0.00265484512783587,0.002587911207228899
109,109.0,-0.9572120089054048,-0.9573148488998412,-0.8771348787421879,-0.8775874972343445,0.002037571975961328,0.0014789983397349715
110,110.0,-0.7522476759823431,-0.7521799802780151,-0.1041123337146706,-0.10435906797647476,0.0037740052212029696,0.0029941406100988392
111,111.0,-0.5001318085272868,-0.5082690715789795,0.8132761763360159,0.8134339451789856,0.014182107523083687,0.013803578913211824
112,112.0,-0.8422941017316016,-0.8420583009719849,-0.7080220160268541,-0.7078058123588562,0.002123834798112512,0.0016821171157062054
113,113.0,-0.9152978383896341,-0.9151775240898132,-0.5400539667266229,-0.5401484370231628,0.002032116986811161,0.001992409583181143
114,114.0,-0.8515242501525413,-0.8516492247581482,-0.06317244880933215,-0.06345552206039429,0.003412553109228611,0.0025493074208498
115,115.0,-0.937786016869802,-0.9378402829170228,-0.12669246900309955,-0.12695159018039706,0.0025591999292373657,0.002014334779232741
116,116.0,0.4163249759986752,0.3664562106132507,-0.2244581978918984,-0.22479674220085144,0.013183396309614182,0.01323608122766018
117,117.0,0.9375142391680424,0.6026089191436768,0.3265993265725348,0.32661208510398865,0.024648843333125114,0.028822975233197205
118,118.0,-0.7131530076849408,-0.713800311088562,-0.6767563971690589,-0.6768472194671631,0.0027916179969906807,0.0027148330118507147
119,119.0,-0.9876635671756778,-0.9894496202468872,-0.6731729334983636,-0.7050953507423401,0.002225339412689209,0.03817214444279672
120,120.0,-0.7691637377618399,-0.7675819993019104,-0.639745395870124,-0.6396781802177429,0.003115544328466057,0.003144547343254089
121,121.0,-0.8451321826027707,-0.8447355628013611,-0.8062357165821287,-0.8063192367553711,0.001845665276050568,0.0016667111776769161
122,122.0,-0.9929615846338536,-0.9929087162017822,-0.3829181403812996,-0.3772439658641815,0.0019921595230698586,0.005346293561160564
123,123.0,-0.971877102578537,-0.9715269207954408,-0.8197312295430542,-0.8196762800216675,0.0019244196591898801,0.001726401736959815
124,124.0,-0.5500050821581646,-0.5488316416740417,-0.3341950657970604,-0.3339517116546631,0.0051599289290606976,0.0043861381709575644
125,125.0,-0.649184322685812,-0.6483438611030579,-0.8118912148968997,-0.8120431303977966,0.003132529789581895,0.002172444248571993
126,126.0,-0.9925259068943456,-1.0095286369323728,-0.682068604042847,-0.7969276905059814,0.0031887462828308344,0.03299325332045555
127,127.0,-0.7131530076849408,-0.7126926779747009,-0.8089924165089893,-0.8092112541198729,0.002836438361555338,0.002092713490128517
128,128.0,-0.9984275210084032,-0.9985632896423341,-0.4382009685275219,-0.5762460231781006,0.0024718428030610085,0.005479721818119288
129,129.0,-0.864612027566562,-0.8642629981040955,-0.756985425172669,-0.7569354176521301,0.0018928641220554712,0.0018542510224506261
130,130.0,-0.7864191167767851,-0.786570131778717,0.06297800142381074,0.06310742348432541,0.0034888780210167174,0.0035159045364707713
131,131.0,-0.7513376623376622,-0.7542871832847595,0.7111180918359095,0.7107560634613037,0.0073171365074813375,0.006591929122805595
132,132.0,-0.8451321826027707,-0.8448439240455627,-0.6829311725889379,-0.682915985584259,0.00200269278138876,0.0019617800135165453
133,133.0,-0.99103721117542,-0.9907487630844116,-0.5165487220822687,-0.5174151062965393,0.0022439658641815186,0.0015810718759894367
134,134.0,-0.915297838389634,-0.9152091145515442,-0.6482765627909468,-0.6480237245559692,0.0022709316108375788,0.0031785983592271805
135,135.0,-0.8460314371989859,-0.8817886114120483,-0.8737786441432341,-0.8788203597068787,0.0025271635968238115,0.03879305720329285
136,136.0,-0.8247995927374537,-0.8252050280570984,0.21663929357480474,0.2166212946176529,0.004116991069167852,0.004093294963240624
137,137.0,-0.8112287444389518,-0.8128988742828369,0.6379115635433511,0.6377527117729187,0.0050074518658220785,0.004836452193558215
138,138.0,-0.8503211951447243,-0.8517460823059082,-0.37449047041029104,-0.374457985162735,0.003088208381086588,0.0026035329792648554
139,139.0,-0.971877102578537,-0.9712245464324952,-0.793978548049205,-0.7939480543136597,0.0027274806052446365,0.0018059045542031527
140,140.0,-0.794832332933173,-0.7969846129417419,0.5932985103666203,0.5931208729743958,0.005353229120373726,0.0047629312612116345
141,141.0,-0.12182810955010552,-0.1163369193673134,-0.3054574203544982,-0.3051405847072601,0.008364627137780191,0.0071403346955776215
142,142.0,-0.9929644310992662,-0.9924488067626952,-0.7300296740060557,-0.8652253150939941,0.0033706212416291237,0.023201655596494675
