,Number,F true,F guess,d true,d guess,MAE ground truth,MAE spectrum
42,42.0,-0.3478171632289273,-0.34001559019088745,-0.5342046157195869,-0.5343257784843445,0.006007088348269464,0.005634875502437353
43,43.0,-0.817828239567781,-0.816914975643158,-0.8181765952030325,-0.8183065056800842,0.002259847475215793,0.001837536576204002
44,44.0,-0.9537184314172816,-0.9533241391181946,-0.7623617299940698,-0.7622554302215576,0.0021690099965780973,0.0018645861418917773
45,45.0,-0.639580179688428,-0.6425491571426392,0.2652698038794762,0.2650301158428192,0.005258551333099604,0.00444631138816476
46,46.0,-0.7139783500613286,-0.7169729471206665,0.5421063785712935,0.5420105457305908,0.00585344433784485,0.005505889654159546
47,47.0,-0.5846906481730786,-0.5830928683280945,-0.17856653839165906,-0.1786179542541504,0.0035973852500319477,0.003411915386095643
48,48.0,-0.2436986655568432,-0.2441876679658889,-0.1971104691755162,-0.1973440200090409,0.0055633168667554855,0.005285811610519886
49,49.0,-0.7264427686408769,-0.7269830703735352,-0.309274103395084,-0.3090892732143402,0.003284438280388713,0.002968691056594253
50,50.0,-0.9299000924253968,-0.9301177859306335,-0.4172629254716504,-0.4173350632190704,0.0019723130390048027,0.0019512653816491363
51,51.0,-0.9098850828466342,-0.805312991142273,-0.6819003349355837,-0.8418580889701843,0.002098900033161044,0.06604284048080444
52,52.0,-0.5846906481730786,-0.5861403346061707,-0.26163284349812044,-0.2615290582180023,0.003910899162292481,0.003609305713325739
53,53.0,-0.21661601455868854,-0.2236384153366089,0.3788391378210188,0.3788508772850037,0.007294182665646076,0.0071467948146164435
54,54.0,-0.923427838460942,-0.9232916235923768,-0.5857814577793757,-0.5859353542327881,0.00205289595760405,0.001725349109619856
55,55.0,-0.9881764374870832,-0.9880608320236206,-0.6522694686679397,-0.6526224613189697,0.00183819979429245,0.0016787743661552668
56,56.0,-0.1611875620623033,-0.15051814913749695,-0.7563431014609305,-0.7564780116081238,0.005798071157187224,0.005293107591569425
57,57.0,-0.7434846208731265,-0.7421847581863403,-0.7832230571940443,-0.7832926511764526,0.0022303268779069185,0.002087258035317064
58,58.0,-0.9846177207725194,-0.984420359134674,-0.2804982815783209,-0.2801766097545624,0.002290596254169941,0.0019542844966053963
59,59.0,-0.9745563172063902,-0.9744898080825806,-0.3487714118323959,-0.34855568408966064,0.0018050638027489183,0.0017282133921980858
60,60.0,-0.9951571687498528,-0.9946822524070741,-0.5703720092024415,-0.5709420442581177,0.003098655957728625,0.00206913729198277
61,61.0,-0.864612027566562,-0.8651539087295532,0.02321926243086744,0.02327972091734409,0.002544298768043518,0.002390954876318574
62,62.0,-0.7100375663483539,-0.7098601460456848,-0.8036199091574512,-0.8038213849067688,0.002741296077147126,0.0019221988040953875
63,63.0,-0.8151860216490713,-0.8167170882225037,-0.3940329551588722,-0.3941211998462677,0.0030224996153265238,0.002576249185949564
64,64.0,-0.7603219522043048,-0.7607061266899109,0.06174668257301125,0.06184931844472885,0.0038101112004369493,0.003723619040101767
65,65.0,-0.445191997250239,-0.4547759592533112,0.4033780675453733,0.4036199748516083,0.006693428382277489,0.00639851577579975
66,66.0,-0.9097269182182676,-0.9095747470855712,-0.5408884253704244,-0.5409855246543884,0.002045685658231377,0.002000917214900255
67,67.0,-0.5846906481730786,-0.5858684778213501,-0.141648180566565,-0.14183765649795532,0.004126652143895626,0.00380879919975996
68,68.0,-0.9825140107031364,-0.9822744727134703,-0.6768200763786505,-0.6774654984474182,0.002509670797735453,0.0016491428250446911
69,69.0,-0.6967494812105767,-0.6963720321655273,-0.8008773101003488,-0.8010544180870056,0.0027522873133420944,0.0020429054275155067
70,70.0,-0.8640710360113655,-0.8642027378082275,0.4047814361534712,0.4047045111656189,0.0036037277895957227,0.0034968799445778127
71,71.0,-0.9203730439250888,-0.9204930067062378,-0.2984694542608342,-0.29840371012687683,0.0019204979762434962,0.0018879144918173552
